CountyName,StateName,FIPS,City,Metro,lat,lng,Year,BasePrice,HouseValue,prev_HouseValue,increase_base_pct,annual_increase,Rank_Annual,annual_value_category,Personal_Income_Raise,Population_Raise,Percapita_Income_Raise
ABBEVILLE,SC,,Donalds,"Greenwood, SC",34.22269468,-82.45872709,2020,117403.0,138137.0,117403.0,18.0,18.0,103.0,Above 15 Percent,,,
ABBEVILLE,SC,,Donalds,"Greenwood, SC",34.22269468,-82.45872709,2021,117403.0,162819.0,138137.0,39.0,18.0,538.5,Above 15 Percent,,,
ABBEVILLE,SC,45001.0,Donalds,"Greenwood, SC",34.22269468,-82.45872709,2022,117403.0,183338.0,162819.0,56.0,13.0,285.0,Above 12 Percent,7.8,0.0,7.9
ABBEVILLE,SC,45001.0,Donalds,"Greenwood, SC",34.22269468,-82.45872709,2023,117403.0,181153.0,183338.0,54.0,-1.0,1828.0,2 Percent Decrease,2.2,0.3,1.9
ABBEVILLE,SC,45001.0,Donalds,"Greenwood, SC",34.22269468,-82.45872709,2024,117403.0,184911.0,181153.0,58.0,2.0,1709.0,Above 1 Percent,5.0,0.4,4.6
ADA,ID,,Star,"Boise City, ID",43.45084054,-116.241035,2020,355784.73333333334,424153.0,355784.73333333334,19.0,19.0,65.5,Above 15 Percent,,,
ADA,ID,,Star,"Boise City, ID",43.45084054,-116.241035,2021,355784.73333333334,560965.5333333333,424153.0,58.0,32.0,33.0,Above 15 Percent,,,
ADA,ID,16001.0,Star,"Boise City, ID",43.45084054,-116.241035,2022,355784.73333333334,545204.9333333333,560965.5333333333,53.0,-3.0,2123.0,4 Percent Decrease,15.6,3.0,12.3
ADA,ID,16001.0,Star,"Boise City, ID",43.45084054,-116.241035,2023,355784.73333333334,532802.8666666667,545204.9333333333,50.0,-2.0,1925.0,2 Percent Decrease,7.1,1.2,5.9
ADA,ID,16001.0,Star,"Boise City, ID",43.45084054,-116.241035,2024,355784.73333333334,549132.1333333333,532802.8666666667,54.0,3.0,1466.0,Above 3 Percent,5.9,1.1,4.8
ADAIR,IA,,Stuart,"Des Moines-West Des Moines, IA",41.33075609,-94.47105874,2020,146856.33333333334,160897.66666666666,146856.33333333334,10.0,10.0,1332.5,Above 10 Percent,,,
ADAIR,IA,,Stuart,"Des Moines-West Des Moines, IA",41.33075609,-94.47105874,2021,146856.33333333334,180827.0,160897.66666666666,23.0,12.0,1321.5,Above 12 Percent,,,
ADAIR,IA,19001.0,Stuart,"Des Moines-West Des Moines, IA",41.33075609,-94.47105874,2022,146856.33333333334,205169.33333333334,180827.0,40.0,13.0,285.0,Above 12 Percent,21.7,0.4,21.2
