CountyName,StateName,FIPS,City,Metro,lat,lng,Year,BasePrice,HouseValue,prev_HouseValue,increase_base_pct,annual_increase,Rank_Annual,annual_value_category,Personal_Income_Raise,Population_Raise,Percapita_Income_Raise
ADA,ID,,Star,"Boise City, ID",43.45084054,-116.241035,2020,269304.26666666666,324277.4666666667,269304.26666666666,20.0,20.0,77.0,Above 15 Percent,,,
ADA,ID,,Star,"Boise City, ID",43.45084054,-116.241035,2021,269304.26666666666,428172.5333333333,324277.4666666667,59.0,32.0,54.0,Above 15 Percent,,,
ADA,ID,16001.0,Star,"Boise City, ID",43.45084054,-116.241035,2022,269304.26666666666,417129.13333333336,428172.5333333333,55.0,-3.0,1682.5,4 Percent Decrease,15.6,3.0,12.3
ADA,ID,16001.0,Star,"Boise City, ID",43.45084054,-116.241035,2023,269304.26666666666,402681.3333333333,417129.13333333336,50.0,-3.0,1607.0,4 Percent Decrease,7.1,1.2,5.9
ADA,ID,16001.0,Star,"Boise City, ID",43.45084054,-116.241035,2024,269304.26666666666,409381.2,402681.3333333333,52.0,2.0,1295.5,Above 1 Percent,5.9,1.1,4.8
ADAIR,IA,,Dexter,"Des Moines-West Des Moines, IA",41.33075609,-94.47105874,2020,139233.0,150896.0,139233.0,8.0,8.0,1352.0,Above 8 Percent,,,
ADAIR,IA,,Dexter,"Des Moines-West Des Moines, IA",41.33075609,-94.47105874,2021,139233.0,175802.0,150896.0,26.0,17.0,675.5,Above 15 Percent,,,
ADAIR,IA,19001.0,Dexter,"Des Moines-West Des Moines, IA",41.33075609,-94.47105874,2022,139233.0,198035.0,175802.0,42.0,13.0,479.0,Above 12 Percent,21.7,0.4,21.2
ADAIR,IA,19001.0,Dexter,"Des Moines-West Des Moines, IA",41.33075609,-94.47105874,2023,139233.0,192032.0,198035.0,38.0,-3.0,1607.0,4 Percent Decrease,4.1,-0.9,5.0
ADAIR,IA,19001.0,Dexter,"Des Moines-West Des Moines, IA",41.33075609,-94.47105874,2024,139233.0,208822.0,192032.0,50.0,9.0,100.0,Above 8 Percent,0.1,-0.9,1.1
ADAIR,MO,,Novinger,"Kirksville, MO",40.19054871,-92.6007527,2020,69085.33333333333,77019.66666666667,69085.33333333333,11.0,11.0,905.0,Above 10 Percent,,,
