CountyName,StateName,FIPS,City,Metro,lat,lng,Year,BasePrice,HouseValue,prev_HouseValue,increase_base_pct,annual_increase,Rank_Annual,annual_value_category,Personal_Income_Raise,Population_Raise,Percapita_Income_Raise
ADA,ID,,Meridian,"Boise City, ID",43.45084054,-116.241035,2020,242491.25,279064.5,242491.25,15.0,15.0,22.5,No Increase,,,
ADA,ID,,Meridian,"Boise City, ID",43.45084054,-116.241035,2021,242491.25,381267.625,279064.5,57.0,37.0,26.0,Above 15 Percent,,,
ADA,ID,16001.0,Meridian,"Boise City, ID",43.45084054,-116.241035,2022,242491.25,372473.125,381267.625,54.0,-2.0,709.5,2 Percent Decrease,15.6,3.0,12.3
ADA,ID,16001.0,Meridian,"Boise City, ID",43.45084054,-116.241035,2023,242491.25,343148.875,372473.125,42.0,-8.0,707.5,8 Percent Decrease,7.1,1.2,5.9
ADA,ID,16001.0,Meridian,"Boise City, ID",43.45084054,-116.241035,2024,242491.25,336176.5,343148.875,39.0,-2.0,599.0,2 Percent Decrease,5.9,1.1,4.8
ADAMS,CO,,Westminster,"Denver-Aurora-Lakewood, CO",39.87357077,-104.3375808,2020,254617.58333333334,269346.4166666667,254617.58333333334,6.0,6.0,487.0,Above 5 Percent,,,
ADAMS,CO,,Westminster,"Denver-Aurora-Lakewood, CO",39.87357077,-104.3375808,2021,254617.58333333334,323126.9166666667,269346.4166666667,27.0,20.0,275.5,Above 15 Percent,,,
ADAMS,CO,,Westminster,"Denver-Aurora-Lakewood, CO",39.87357077,-104.3375808,2022,254617.58333333334,348698.25,323126.9166666667,37.0,8.0,428.0,Above 8 Percent,,,
ADAMS,CO,,Westminster,"Denver-Aurora-Lakewood, CO",39.87357077,-104.3375808,2023,254617.58333333334,347783.25,348698.25,37.0,-0.0,570.5,No Increase,,,
ADAMS,CO,,Westminster,"Denver-Aurora-Lakewood, CO",39.87357077,-104.3375808,2024,254617.58333333334,340395.75,347783.25,34.0,-2.0,599.0,2 Percent Decrease,,,
ADAMS,WI,,Wisconsin Dells,"Madison, WI",43.96955395,-89.77038616,2020,219688.0,226003.0,219688.0,3.0,3.0,645.5,Above 3 Percent,,,
ADAMS,WI,,Wisconsin Dells,"Madison, WI",43.96955395,-89.77038616,2021,219688.0,253803.0,226003.0,16.0,12.0,580.5,Above 12 Percent,,,
ADAMS,WI,55001.0,Wisconsin Dells,"Madison, WI",43.96955395,-89.77038616,2022,219688.0,276569.0,253803.0,26.0,9.0,367.5,Above 8 Percent,5.0,0.8,4.2
ADAMS,WI,55001.0,Wisconsin Dells,"Madison, WI",43.96955395,-89.77038616,2023,219688.0,279087.0,276569.0,27.0,1.0,526.0,1 Percent Increase,-1.0,2.0,-2.9
ADAMS,WI,55001.0,Wisconsin Dells,"Madison, WI",43.96955395,-89.77038616,2024,219688.0,276671.0,279087.0,26.0,-1.0,551.0,2 Percent Decrease,4.9,0.9,4.0
ALACHUA,FL,,Newberry,"Gainesville, FL",29.67497355,-82.35823348,2020,140387.66666666666,154453.77777777778,140387.66666666666,10.0,10.0,167.0,Above 10 Percent,,,
ALACHUA,FL,,Newberry,"Gainesville, FL",29.67497355,-82.35823348,2021,140387.66666666666,177064.22222222222,154453.77777777778,26.0,15.0,449.5,No Increase,,,
ALACHUA,FL,12001.0,Newberry,"Gainesville, FL",29.67497355,-82.35823348,2022,140387.66666666666,200744.33333333334,177064.22222222222,43.0,13.0,166.5,Above 12 Percent,9.0,0.8,8.2
ALACHUA,FL,12001.0,Newberry,"Gainesville, FL",29.67497355,-82.35823348,2023,140387.66666666666,206586.77777777778,200744.33333333334,47.0,3.0,420.0,Above 3 Percent,2.4,0.8,1.6
ALACHUA,FL,12001.0,Newberry,"Gainesville, FL",29.67497355,-82.35823348,2024,140387.66666666666,203174.77777777778,206586.77777777778,45.0,-2.0,599.0,2 Percent Decrease,7.3,0.7,6.6
ALAMANCE,NC,,Burlington,"Burlington, NC",36.04378576,-79.39913194,2020,115214.0,127896.0,115214.0,11.0,11.0,119.0,Above 10 Percent,,,
ALAMANCE,NC,,Burlington,"Burlington, NC",36.04378576,-79.39913194,2021,115214.0,154468.0,127896.0,34.0,21.0,254.5,Above 15 Percent,,,
ALAMANCE,NC,37001.0,Burlington,"Burlington, NC",36.04378576,-79.39913194,2022,115214.0,183730.0,154468.0,59.0,19.0,49.5,Above 15 Percent,11.1,1.2,9.8
ALAMANCE,NC,37001.0,Burlington,"Burlington, NC",36.04378576,-79.39913194,2023,115214.0,195301.0,183730.0,70.0,6.0,221.0,Above 5 Percent,3.4,1.5,1.8
ALAMANCE,NC,37001.0,Burlington,"Burlington, NC",36.04378576,-79.39913194,2024,115214.0,197121.0,195301.0,71.0,1.0,434.5,1 Percent Increase,5.7,1.4,4.2
ALAMEDA,CA,,Union City,"San Francisco-Oakland-Berkeley, CA",37.64642367,-121.888612,2020,652622.6511627907,635247.023255814,652622.6511627907,-3.0,-3.0,711.0,4 Percent Decrease,,,
ALAMEDA,CA,,Union City,"San Francisco-Oakland-Berkeley, CA",37.64642367,-121.888612,2021,652622.6511627907,714024.1860465116,635247.023255814,9.0,12.0,580.5,Above 12 Percent,,,
ALAMEDA,CA,6001.0,Union City,"San Francisco-Oakland-Berkeley, CA",37.64642367,-121.888612,2022,652622.6511627907,691396.6279069767,714024.1860465116,6.0,-3.0,714.0,4 Percent Decrease,9.1,-2.2,11.5
ALAMEDA,CA,6001.0,Union City,"San Francisco-Oakland-Berkeley, CA",37.64642367,-121.888612,2023,652622.6511627907,686151.4418604651,691396.6279069767,5.0,-1.0,609.0,2 Percent Decrease,1.5,-1.0,2.5
