CountyName,StateName,FIPS,City,Metro,lat,lng,Year,BasePrice,HouseValue,prev_HouseValue,increase_base_pct,annual_increase,Rank_Annual,annual_value_category,Personal_Income_Raise,Population_Raise,Percapita_Income_Raise
ABBEVILLE,SC,,Donalds,"Greenwood, SC",34.22269468,-82.45872709,2020,115696.0,136407.0,115696.0,18.0,18.0,102.0,Above 15 Percent,,,
ABBEVILLE,SC,,Donalds,"Greenwood, SC",34.22269468,-82.45872709,2021,115696.0,160577.0,136407.0,39.0,18.0,540.5,Above 15 Percent,,,
ABBEVILLE,SC,45001.0,Donalds,"Greenwood, SC",34.22269468,-82.45872709,2022,115696.0,181376.0,160577.0,57.0,13.0,287.5,Above 12 Percent,7.8,0.0,7.9
ABBEVILLE,SC,45001.0,Donalds,"Greenwood, SC",34.22269468,-82.45872709,2023,115696.0,179578.0,181376.0,55.0,-1.0,1828.5,2 Percent Decrease,2.2,0.3,1.9
ABBEVILLE,SC,45001.0,Donalds,"Greenwood, SC",34.22269468,-82.45872709,2024,115696.0,183180.0,179578.0,58.0,2.0,1718.0,Above 1 Percent,5.0,0.4,4.6
ADA,ID,,Star,"Boise City, ID",43.45084054,-116.241035,2020,357113.2,426129.93333333335,357113.2,19.0,19.0,68.0,Above 15 Percent,,,
ADA,ID,,Star,"Boise City, ID",43.45084054,-116.241035,2021,357113.2,563613.4666666667,426129.93333333335,58.0,32.0,36.0,Above 15 Percent,,,
ADA,ID,16001.0,Star,"Boise City, ID",43.45084054,-116.241035,2022,357113.2,547932.5333333333,563613.4666666667,53.0,-3.0,2122.0,4 Percent Decrease,15.6,3.0,12.3
ADA,ID,16001.0,Star,"Boise City, ID",43.45084054,-116.241035,2023,357113.2,535748.6,547932.5333333333,50.0,-2.0,1921.5,2 Percent Decrease,7.1,1.2,5.9
ADA,ID,16001.0,Star,"Boise City, ID",43.45084054,-116.241035,2024,357113.2,552415.2666666667,535748.6,55.0,3.0,1472.0,Above 3 Percent,5.9,1.1,4.8
ADAIR,IA,,Stuart,"Des Moines-West Des Moines, IA",41.33075609,-94.47105874,2020,143621.66666666666,157272.0,143621.66666666666,10.0,10.0,1337.0,Above 10 Percent,,,
ADAIR,IA,,Stuart,"Des Moines-West Des Moines, IA",41.33075609,-94.47105874,2021,143621.66666666666,177125.33333333334,157272.0,23.0,13.0,1170.5,Above 12 Percent,,,
ADAIR,IA,19001.0,Stuart,"Des Moines-West Des Moines, IA",41.33075609,-94.47105874,2022,143621.66666666666,200701.66666666666,177125.33333333334,40.0,13.0,287.5,Above 12 Percent,21.7,0.4,21.2
ADAIR,IA,19001.0,Stuart,"Des Moines-West Des Moines, IA",41.33075609,-94.47105874,2023,143621.66666666666,198284.0,200701.66666666666,38.0,-1.0,1828.5,2 Percent Decrease,4.1,-0.9,5.0
ADAIR,IA,19001.0,Stuart,"Des Moines-West Des Moines, IA",41.33075609,-94.47105874,2024,143621.66666666666,211577.66666666666,198284.0,47.0,7.0,344.0,Above 5 Percent,0.1,-0.9,1.1
ADAIR,MO,,Novinger,"Kirksville, MO",40.19054871,-92.6007527,2020,129571.0,148975.25,129571.0,15.0,15.0,322.5,No Increase,,,
ADAIR,MO,,Novinger,"Kirksville, MO",40.19054871,-92.6007527,2021,129571.0,171286.0,148975.25,32.0,15.0,898.5,No Increase,,,
ADAIR,MO,29001.0,Novinger,"Kirksville, MO",40.19054871,-92.6007527,2022,129571.0,159240.75,171286.0,23.0,-7.0,2167.0,8 Percent Decrease,5.6,-0.3,5.9
ADAIR,MO,29001.0,Novinger,"Kirksville, MO",40.19054871,-92.6007527,2023,129571.0,166938.75,159240.75,29.0,5.0,663.0,Above 5 Percent,-0.9,-0.1,-0.8
ADAIR,MO,29001.0,Novinger,"Kirksville, MO",40.19054871,-92.6007527,2024,129571.0,178381.0,166938.75,38.0,7.0,344.0,Above 5 Percent,7.2,-0.1,7.3
ADAIR,OK,,Proctor,"Tahlequah, OK",35.88406262,-94.65863245,2020,97436.5,106371.5,97436.5,9.0,9.0,1571.0,Above 8 Percent,,,
ADAIR,OK,,Proctor,"Tahlequah, OK",35.88406262,-94.65863245,2021,97436.5,132373.5,106371.5,36.0,24.0,168.0,Above 15 Percent,,,
ADAIR,OK,40001.0,Proctor,"Tahlequah, OK",35.88406262,-94.65863245,2022,97436.5,149873.5,132373.5,54.0,13.0,287.5,Above 12 Percent,13.9,-0.1,13.9
ADAIR,OK,40001.0,Proctor,"Tahlequah, OK",35.88406262,-94.65863245,2023,97436.5,158425.5,149873.5,63.0,6.0,448.5,Above 5 Percent,4.4,0.4,4.0
ADAIR,OK,40001.0,Proctor,"Tahlequah, OK",35.88406262,-94.65863245,2024,97436.5,164495.0,158425.5,69.0,4.0,1172.0,Above 3 Percent,1.5,0.6,0.9
ADAMS,CO,,Westminster,"Denver-Aurora-Lakewood, CO",39.87357077,-104.3375808,2020,375954.92307692306,410384.76923076925,375954.92307692306,9.0,9.0,1571.0,Above 8 Percent,,,
ADAMS,CO,,Westminster,"Denver-Aurora-Lakewood, CO",39.87357077,-104.3375808,2021,375954.92307692306,483102.3846153846,410384.76923076925,29.0,18.0,540.5,Above 15 Percent,,,
ADAMS,CO,,Westminster,"Denver-Aurora-Lakewood, CO",39.87357077,-104.3375808,2022,375954.92307692306,513735.92307692306,483102.3846153846,37.0,6.0,1508.5,Above 5 Percent,,,
ADAMS,CO,,Westminster,"Denver-Aurora-Lakewood, CO",39.87357077,-104.3375808,2023,375954.92307692306,511169.3846153846,513735.92307692306,36.0,-0.0,1702.5,No Increase,,,
ADAMS,CO,,Westminster,"Denver-Aurora-Lakewood, CO",39.87357077,-104.3375808,2024,375954.92307692306,514548.53846153844,511169.3846153846,37.0,1.0,1888.5,1 Percent Increase,,,
ADAMS,IL,,Ursa,"Quincy, IL-MO",39.98808185,-91.18842478,2020,160990.42857142858,172283.0,160990.42857142858,7.0,7.0,1936.5,Above 5 Percent,,,
ADAMS,IL,,Ursa,"Quincy, IL-MO",39.98808185,-91.18842478,2021,160990.42857142858,180772.42857142858,172283.0,12.0,5.0,2076.0,Above 5 Percent,,,
ADAMS,IL,17001.0,Ursa,"Quincy, IL-MO",39.98808185,-91.18842478,2022,160990.42857142858,194708.57142857142,180772.42857142858,21.0,8.0,1133.5,Above 8 Percent,7.1,-0.8,8.0
