FIPS,Year,County_Name,LineCode,Description,Increase_Percent
1001,2022,"Autauga, AL",1,Personal income (thousands of dollars),9.6
1001,2022,"Autauga, AL",2,Population (persons) 1,0.5
1001,2022,"Autauga, AL",3,Per capita personal income (dollars) 2,9.1
1003,2022,"Baldwin, AL",1,Personal income (thousands of dollars),13.5
1003,2022,"Baldwin, AL",2,Population (persons) 1,2.7
1003,2022,"Baldwin, AL",3,Per capita personal income (dollars) 2,10.6
1005,2022,"Barbour, AL",1,Personal income (thousands of dollars),8.6
1005,2022,"Barbour, AL",2,Population (persons) 1,-1.7
1005,2022,"Barbour, AL",3,Per capita personal income (dollars) 2,10.5
1007,2022,"Bibb, AL",1,Personal income (thousands of dollars),8.1
1007,2022,"Bibb, AL",2,Population (persons) 1,0.8
1007,2022,"Bibb, AL",3,Per capita personal income (dollars) 2,7.3
1009,2022,"Blount, AL",1,Personal income (thousands of dollars),13.7
1009,2022,"Blount, AL",2,Population (persons) 1,0
1009,2022,"Blount, AL",3,Per capita personal income (dollars) 2,13.8
1011,2022,"Bullock, AL",1,Personal income (thousands of dollars),10.1
1011,2022,"Bullock, AL",2,Population (persons) 1,-0.8
1011,2022,"Bullock, AL",3,Per capita personal income (dollars) 2,11.1
1013,2022,"Butler, AL",1,Personal income (thousands of dollars),14.3
1013,2022,"Butler, AL",2,Population (persons) 1,-0.7
1013,2022,"Butler, AL",3,Per capita personal income (dollars) 2,15.1
1015,2022,"Calhoun, AL",1,Personal income (thousands of dollars),8.7
1015,2022,"Calhoun, AL",2,Population (persons) 1,-0.5
1015,2022,"Calhoun, AL",3,Per capita personal income (dollars) 2,9.2
1017,2022,"Chambers, AL",1,Personal income (thousands of dollars),8.7
1017,2022,"Chambers, AL",2,Population (persons) 1,-0.5
1017,2022,"Chambers, AL",3,Per capita personal income (dollars) 2,9.2
1019,2022,"Cherokee, AL",1,Personal income (thousands of dollars),12.2
1019,2022,"Cherokee, AL",2,Population (persons) 1,0.4
1019,2022,"Cherokee, AL",3,Per capita personal income (dollars) 2,11.8
1021,2022,"Chilton, AL",1,Personal income (thousands of dollars),12.3
1021,2022,"Chilton, AL",2,Population (persons) 1,0.4
1021,2022,"Chilton, AL",3,Per capita personal income (dollars) 2,11.8
1023,2022,"Choctaw, AL",1,Personal income (thousands of dollars),7.1
1023,2022,"Choctaw, AL",2,Population (persons) 1,-0.6
1023,2022,"Choctaw, AL",3,Per capita personal income (dollars) 2,7.8
1025,2022,"Clarke, AL",1,Personal income (thousands of dollars),8.2
1025,2022,"Clarke, AL",2,Population (persons) 1,-1.1
1025,2022,"Clarke, AL",3,Per capita personal income (dollars) 2,9.4
1027,2022,"Clay, AL",1,Personal income (thousands of dollars),12.4
1027,2022,"Clay, AL",2,Population (persons) 1,-0.3
1027,2022,"Clay, AL",3,Per capita personal income (dollars) 2,12.8
1029,2022,"Cleburne, AL",1,Personal income (thousands of dollars),14.1
1029,2022,"Cleburne, AL",2,Population (persons) 1,0.6
1029,2022,"Cleburne, AL",3,Per capita personal income (dollars) 2,13.4
1031,2022,"Coffee, AL",1,Personal income (thousands of dollars),12.9
1031,2022,"Coffee, AL",2,Population (persons) 1,1.2
1031,2022,"Coffee, AL",3,Per capita personal income (dollars) 2,11.5
1033,2022,"Colbert, AL",1,Personal income (thousands of dollars),10
1033,2022,"Colbert, AL",2,Population (persons) 1,0.6
1033,2022,"Colbert, AL",3,Per capita personal income (dollars) 2,9.4
1035,2022,"Conecuh, AL",1,Personal income (thousands of dollars),9.5
1035,2022,"Conecuh, AL",2,Population (persons) 1,-2
1035,2022,"Conecuh, AL",3,Per capita personal income (dollars) 2,11.8
