FIPS,Year,CountyName,CountyName_Txt,StateName,Personal_Income_Raise,Population_Raise,Percapita_Income_Raise
1001,2022,AUTAUGA,"Autauga, AL",AL,9.6,0.5,9.1
1001,2023,AUTAUGA,"Autauga, AL",AL,2.2,0.9,1.3
1001,2024,AUTAUGA,"Autauga, AL",AL,7.7,1,6.6
1003,2022,BALDWIN,"Baldwin, AL",AL,13.5,2.7,10.6
1003,2023,BALDWIN,"Baldwin, AL",AL,5.4,3,2.4
1003,2024,BALDWIN,"Baldwin, AL",AL,8.8,2.8,5.8
1005,2022,BARBOUR,"Barbour, AL",AL,8.6,-1.7,10.5
1005,2023,BARBOUR,"Barbour, AL",AL,0.9,0.7,0.2
1005,2024,BARBOUR,"Barbour, AL",AL,0.7,-0.5,1.2
1007,2022,BIBB,"Bibb, AL",AL,8.1,0.8,7.3
1007,2023,BIBB,"Bibb, AL",AL,0.5,-1.7,2.2
1007,2024,BIBB,"Bibb, AL",AL,3.7,-0.5,4.3
1009,2022,BLOUNT,"Blount, AL",AL,13.7,0,13.8
1009,2023,BLOUNT,"Blount, AL",AL,3.3,0.7,2.5
1009,2024,BLOUNT,"Blount, AL",AL,2.7,0.5,2.2
1011,2022,BULLOCK,"Bullock, AL",AL,10.1,-0.8,11.1
1011,2023,BULLOCK,"Bullock, AL",AL,-1.9,0,-1.9
1011,2024,BULLOCK,"Bullock, AL",AL,5.3,-2.4,7.9
1013,2022,BUTLER,"Butler, AL",AL,14.3,-0.7,15.1
1013,2023,BUTLER,"Butler, AL",AL,3.3,-1.2,4.5
1013,2024,BUTLER,"Butler, AL",AL,2,-1.5,3.6
1015,2022,CALHOUN,"Calhoun, AL",AL,8.7,-0.5,9.2
1015,2023,CALHOUN,"Calhoun, AL",AL,-1.2,0.1,-1.3
1015,2024,CALHOUN,"Calhoun, AL",AL,5.4,0.6,4.8
1017,2022,CHAMBERS,"Chambers, AL",AL,8.7,-0.5,9.2
1017,2023,CHAMBERS,"Chambers, AL",AL,-0.5,-0.9,0.5
1017,2024,CHAMBERS,"Chambers, AL",AL,3,-0.2,3.3
1019,2022,CHEROKEE,"Cherokee, AL",AL,12.2,0.4,11.8
1019,2023,CHEROKEE,"Cherokee, AL",AL,1.1,1.1,-0.1
1019,2024,CHEROKEE,"Cherokee, AL",AL,2.5,1.2,1.2
1021,2022,CHILTON,"Chilton, AL",AL,12.3,0.4,11.8
1021,2023,CHILTON,"Chilton, AL",AL,2.8,1.3,1.4
1021,2024,CHILTON,"Chilton, AL",AL,7.5,1.3,6.1
1023,2022,CHOCTAW,"Choctaw, AL",AL,7.1,-0.6,7.8
1023,2023,CHOCTAW,"Choctaw, AL",AL,7,-0.9,8
1023,2024,CHOCTAW,"Choctaw, AL",AL,3.2,-1.4,4.7
