County,State,FIPS_Code,City_Name,Metropolitan_Area,Latitude,Longitude,Year_Recorded,Personal_Income_Growth,Population_Growth,Per_Capita_Income_Growth,AnnualValue_AllHomes,Previous_AnnualValue_AllHomes,Annual_Increase_AllHomes,5Year_BasePrice_AllHomes,5Year_Percent_Increase_AllHomes,Rank_Annual_AllHomes,Annual_Value_Category_AllHomes,AnnualValue_SingleFamily,Previous_AnnualValue_SingleFamily,Annual_Increase_SingleFamily,5Year_BasePrice_SingleFamily,5Year_Percent_Increase_SingleFamily,Rank_Annual_SingleFamily,Annual_Value_Category_SingleFamily,AnnualValue_Condo,Previous_AnnualValue_Condo,Annual_Increase_Condo,5Year_BasePrice_Condo,5Year_Percent_Increase_Condo,Rank_Annual_Condo,Annual_Value_Category_Condo,AnnualValue_ThreeBedRoom,Previous_AnnualValue_ThreeBedRoom,Annual_Increase_ThreeBedRoom,5Year_BasePrice_ThreeBedRoom,5Year_Percent_Increase_ThreeBedRoom,Rank_Annual_ThreeBedRoom,Annual_Value_Category_ThreeBedRoom,AnnualValue_TwoBedRoom,Previous_AnnualValue_TwoBedRoom,Annual_Increase_TwoBedRoom,5Year_BasePrice_TwoBedRoom,5Year_Percent_Increase_TwoBedRoom,Rank_Annual_TwoBedRoom,Annual_Value_Category_TwoBedRoom
AUTAUGA,AL,,Prattville,"Montgomery, AL",32.53514228,-86.64289976,2020,,,,165852.0,150023.33333333334,11.0,150023.33333333334,11.0,1084.5,Above 10 Percent,164420.33333333334,148646.16666666666,11.0,148646.16666666666,11.0,1092.0,Above 10 Percent,,,,,,,,162810.5,150446.0,8.0,150446.0,8.0,1626.5,Above 8 Percent,87270.0,70695.0,23.0,70695.0,23.0,27.5,Above 15 Percent
AUTAUGA,AL,,Prattville,"Montgomery, AL",32.53514228,-86.64289976,2021,,,,182380.0,165852.0,10.0,150023.33333333334,22.0,1667.5,Above 10 Percent,180955.16666666663,164420.33333333334,10.0,148646.16666666666,22.0,1673.5,Above 10 Percent,,,,,,,,179985.5,162810.5,11.0,150446.0,20.0,1549.0,Above 10 Percent,100232.0,87270.0,15.0,70695.0,42.0,860.5,No Increase
AUTAUGA,AL,1001.0,Prattville,"Montgomery, AL",32.53514228,-86.64289976,2022,9.6,0.5,9.1,192865.3333333333,182380.0,6.0,150023.33333333334,29.0,1506.0,Above 5 Percent,191341.16666666663,180955.16666666663,6.0,148646.16666666666,29.0,1508.5,Above 5 Percent,,,,,,,,199422.0,179985.5,11.0,150446.0,33.0,832.5,Above 10 Percent,111207.0,100232.0,11.0,70695.0,57.0,707.5,Above 10 Percent
AUTAUGA,AL,1001.0,Prattville,"Montgomery, AL",32.53514228,-86.64289976,2023,2.2,0.9,1.3,194390.8333333333,192865.3333333333,1.0,150023.33333333334,30.0,1538.5,1 Percent Increase,192713.0,191341.16666666663,1.0,148646.16666666666,30.0,1543.0,1 Percent Increase,,,,,,,,208982.0,199422.0,5.0,150446.0,39.0,701.0,Above 5 Percent,114353.0,111207.0,3.0,70695.0,62.0,1153.0,Above 3 Percent
AUTAUGA,AL,1001.0,Prattville,"Montgomery, AL",32.53514228,-86.64289976,2024,7.7,1.0,6.6,202480.8333333333,194390.8333333333,4.0,150023.33333333334,35.0,1166.5,Above 3 Percent,200822.5,192713.0,4.0,148646.16666666666,35.0,1172.0,Above 3 Percent,,,,,,,,217907.0,208982.0,4.0,150446.0,45.0,1174.0,Above 3 Percent,122546.0,114353.0,7.0,70695.0,73.0,317.0,Above 5 Percent
BALDWIN,AL,,Summerdale,"Daphne-Fairhope-Foley, AL",30.72782468,-87.72274477,2020,,,,257352.70588235292,227991.0,13.0,227991.0,13.0,631.0,Above 12 Percent,254784.0,225321.70588235292,13.0,225321.70588235292,13.0,639.0,Above 12 Percent,286739.0,266330.4,8.0,266330.4,8.0,315.0,Above 8 Percent,248753.9375,220829.8125,13.0,220829.8125,13.0,487.5,Above 12 Percent,210104.44444444444,184165.88888888888,14.0,184165.88888888888,14.0,468.0,Above 12 Percent
BALDWIN,AL,,Summerdale,"Daphne-Fairhope-Foley, AL",30.72782468,-87.72274477,2021,,,,306665.82352941175,257352.70588235292,19.0,227991.0,35.0,440.0,Above 15 Percent,303020.7058823529,254784.0,19.0,225321.70588235292,34.0,444.5,Above 15 Percent,359717.4,286739.0,25.0,266330.4,35.0,161.5,Above 15 Percent,300551.9375,248753.9375,21.0,220829.8125,36.0,386.0,Above 15 Percent,253922.0,210104.44444444444,21.0,184165.88888888888,38.0,382.0,Above 15 Percent
BALDWIN,AL,1003.0,Summerdale,"Daphne-Fairhope-Foley, AL",30.72782468,-87.72274477,2022,13.5,2.7,10.6,335072.82352941175,306665.82352941175,9.0,227991.0,47.0,915.0,Above 8 Percent,331701.4117647059,303020.7058823529,9.0,225321.70588235292,47.0,922.5,Above 8 Percent,387336.4,359717.4,8.0,266330.4,45.0,428.0,Above 8 Percent,330152.0,300551.9375,10.0,220829.8125,50.0,1047.5,Above 10 Percent,278618.0,253922.0,10.0,184165.88888888888,51.0,867.5,Above 10 Percent
BALDWIN,AL,1003.0,Summerdale,"Daphne-Fairhope-Foley, AL",30.72782468,-87.72274477,2023,5.4,3.0,2.4,345427.17647058825,335072.82352941175,3.0,227991.0,52.0,1156.5,Above 3 Percent,343601.0588235294,331701.4117647059,4.0,225321.70588235292,52.0,911.0,Above 3 Percent,391184.4,387336.4,1.0,266330.4,47.0,526.0,1 Percent Increase,339864.1875,330152.0,3.0,220829.8125,54.0,1213.5,Above 3 Percent,286555.44444444444,278618.0,3.0,184165.88888888888,56.0,1153.0,Above 3 Percent
BALDWIN,AL,1003.0,Summerdale,"Daphne-Fairhope-Foley, AL",30.72782468,-87.72274477,2024,8.8,2.8,5.8,349517.8823529412,345427.17647058825,1.0,227991.0,53.0,1884.0,1 Percent Increase,350130.35294117645,343601.0588235294,2.0,225321.70588235292,55.0,1718.0,Above 1 Percent,377210.0,391184.4,-4.0,266330.4,42.0,663.0,4 Percent Decrease,344630.875,339864.1875,1.0,220829.8125,56.0,1786.5,1 Percent Increase,283153.3333333333,286555.44444444444,-1.0,184165.88888888888,54.0,1575.5,2 Percent Decrease
